Comment: 
Version: 2.3 [3.0.8263]
File Name: C:\Users\Algiz 8X\Desktop\230621_toma5\cavendish\PSR-1100f_SN22A44H3_00037.sed
Instrument: PSR-1100f_22A44H3
Detectors: 512,0,0
Measurement: REFLECTANCE
Date: 06/21/2023,06/21/2023
Time: 10:49:25.71,11:02:16.86
Temperature (C): 29.04,31.29
Battery Voltage: 8.27,8.20
Averages: 10,10
Integration: 23,100
Dark Mode: AUTO,AUTO
Foreoptic: FIBER1 {RADIANCE},FIBER1 {RADIANCE}
Radiometric Calibration: RADIANCE
Units: W/m^2/sr/nm
Wavelength Range: 320,1100
Latitude: n/a
Longitude: n/a
Altitude: n/a
UTC Time: n/a
Satellites: n/a
Calibrated Reference Correction File: Sticker
Channels: 781
Columns [2]:
Data:
Wvl	Reflect. %
630.0	3.4488
631.0	3.4296
632.0	3.4072
633.0	3.3963
634.0	3.3808
635.0	3.3536
636.0	3.2999
637.0	3.2408
638.0	3.1780
639.0	3.1026
640.0	3.0341
641.0	2.9771
642.0	2.9042
643.0	2.8117
644.0	2.6901
645.0	2.5728
646.0	2.4732
647.0	2.4172
648.0	2.3742
649.0	2.3363
650.0	2.2857
651.0	2.2376
652.0	2.1990
653.0	2.1832
654.0	2.1850
655.0	2.2041
656.0	2.2047
657.0	2.1834
658.0	2.1284
659.0	2.0990
660.0	2.0980
661.0	2.0596
662.0	2.0155
663.0	1.9802
664.0	1.9303
665.0	1.8907
666.0	1.9156
667.0	1.8933
668.0	1.8374
669.0	1.8214
670.0	1.7915
671.0	1.7387
672.0	1.7585
673.0	1.7970
674.0	1.8074
675.0	1.8119
676.0	1.8130
677.0	1.8108
678.0	1.8315
679.0	1.8744
680.0	1.9083
681.0	1.9385
682.0	1.9648
683.0	2.0145
684.0	2.0861
685.0	2.1785
686.0	2.2888
687.0	2.4167
688.0	2.5590
689.0	2.7443
690.0	2.9823
691.0	3.2525
692.0	3.5601
693.0	3.9133
694.0	4.2635
695.0	4.6202
696.0	5.0234
697.0	5.4439
698.0	5.8737
699.0	6.3252
700.0	6.7681
701.0	7.1716
702.0	7.5504
703.0	7.9136
704.0	8.2902
705.0	8.6457
706.0	8.9756
707.0	9.2922
708.0	9.5905
709.0	9.8683
710.0	10.1315
711.0	10.3813
712.0	10.6190
713.0	10.8500
714.0	11.0779
715.0	11.3233
716.0	11.5409
717.0	11.7024
718.0	11.8914
719.0	12.0854
720.0	12.2454
721.0	12.4123
722.0	12.5898
723.0	12.7651
724.0	12.9289
725.0	13.0741
726.0	13.2106
727.0	13.3307
728.0	13.4147
729.0	13.5146
730.0	13.6338
731.0	13.7416
732.0	13.8386
733.0	13.9225
734.0	13.9963
735.0	14.0638
736.0	14.1318
737.0	14.1975
738.0	14.2603
739.0	14.3174
740.0	14.3702
741.0	14.4190
742.0	14.4709
743.0	14.5164
744.0	14.5362
745.0	14.5608
746.0	14.5926
747.0	14.6151
748.0	14.6384
749.0	14.6675
750.0	14.6835
751.0	14.6917
752.0	14.7012
753.0	14.7033
754.0	14.7002
755.0	14.7204
756.0	14.7450
757.0	14.7590
758.0	14.7403
759.0	14.7095
760.0	14.7382
761.0	14.7682
762.0	14.7827
763.0	14.7718
764.0	14.7562
765.0	14.7565
766.0	14.7581
767.0	14.7597
768.0	14.7571
769.0	14.7629
770.0	14.7802
771.0	14.7943
772.0	14.7992
773.0	14.7795
774.0	14.7688
775.0	14.7710
776.0	14.7766
777.0	14.7783
778.0	14.7699
779.0	14.7830
780.0	14.7994
781.0	14.7835
782.0	14.7905
783.0	14.8212
784.0	14.8108
785.0	14.7906
786.0	14.7861
787.0	14.7929
788.0	14.8049
789.0	14.8000
790.0	14.8039
791.0	14.8227
792.0	14.8241
793.0	14.8201
794.0	14.8201
795.0	14.8177
796.0	14.8122
797.0	14.8002
798.0	14.7995
799.0	14.8213
800.0	14.8379
801.0	14.8473
802.0	14.8418
803.0	14.8411
804.0	14.8490
805.0	14.8412
806.0	14.8363
807.0	14.8541
808.0	14.8615
809.0	14.8598
810.0	14.8554
811.0	14.8597
812.0	14.8800
813.0	14.8732
814.0	14.8587
815.0	14.8715
816.0	14.8732
817.0	14.8616
818.0	14.8634
819.0	14.8637
820.0	14.8456
821.0	14.8632
822.0	14.8989
823.0	14.8872
824.0	14.8727
825.0	14.8710
826.0	14.8752
827.0	14.8840
828.0	14.8951
829.0	14.9087
830.0	14.9234
831.0	14.9339
832.0	14.9278
833.0	14.8853
834.0	14.8846
835.0	14.9154
836.0	14.9297
837.0	14.9184
838.0	14.8689
839.0	14.8783
840.0	14.9074
841.0	14.8896
842.0	14.8728
843.0	14.8665
844.0	14.8747
845.0	14.8828
846.0	14.8729
847.0	14.8840
848.0	14.9110
849.0	14.8871
850.0	14.8727
851.0	14.9012
852.0	14.9141
853.0	14.9122
854.0	14.8985
855.0	14.8974
856.0	14.9163
857.0	14.9142
858.0	14.9023
859.0	14.8951
860.0	14.8996
861.0	14.9152
862.0	14.9326
863.0	14.9371
864.0	14.9087
865.0	14.8938
866.0	14.8897
867.0	14.8749
868.0	14.8670
869.0	14.8754
870.0	14.8785
871.0	14.8716
872.0	14.8363
873.0	14.8144
874.0	14.8191
875.0	14.8671
876.0	14.9138
877.0	14.8701
878.0	14.8502
879.0	14.8772
880.0	14.8789
881.0	14.8642
882.0	14.8317
883.0	14.8244
884.0	14.8422
885.0	14.8442
886.0	14.8445
887.0	14.8502
888.0	14.8513
889.0	14.8470
890.0	14.8321
891.0	14.8230
892.0	14.8295
893.0	14.8422
894.0	14.8607
895.0	14.8909
896.0	14.8959
897.0	14.8658
898.0	14.8734
899.0	14.8861
900.0	14.8448
901.0	14.8239
902.0	14.8372
903.0	14.8093
904.0	14.7753
905.0	14.7741
906.0	14.7824
907.0	14.7962
908.0	14.8128
909.0	14.8133
910.0	14.7726
911.0	14.7462
912.0	14.7417
913.0	14.7677
914.0	14.7902
915.0	14.7801
916.0	14.7701
917.0	14.7590
918.0	14.7332
919.0	14.7062
920.0	14.6847
921.0	14.6782
922.0	14.6802
923.0	14.6578
924.0	14.6475
925.0	14.6707
926.0	14.6644
927.0	14.6433
928.0	14.6640
929.0	14.6759
930.0	14.6586
931.0	14.6206
932.0	14.5773
933.0	14.5647
934.0	14.5576
935.0	14.5489
936.0	14.5231
937.0	14.4888
938.0	14.4613
939.0	14.4457
940.0	14.4443
941.0	14.4541
942.0	14.4682
943.0	14.4716
944.0	14.4707
945.0	14.4662
946.0	14.4179
947.0	14.3591
948.0	14.3537
949.0	14.3291
950.0	14.2706
951.0	14.2287
952.0	14.2087
953.0	14.2371
954.0	14.2232
955.0	14.1461
956.0	14.0927
957.0	14.0571
958.0	14.0395
959.0	14.0126
960.0	13.9703
961.0	13.9776
962.0	13.9977
963.0	13.9602
964.0	13.9558
965.0	14.0033
966.0	14.0368
967.0	14.0433
968.0	13.9804
969.0	13.9623
970.0	14.0143
971.0	13.9793
972.0	13.9107
973.0	13.9163
974.0	13.9231
975.0	13.9134
976.0	13.9190
977.0	13.9396
978.0	13.9922
979.0	13.9980
980.0	13.9349
981.0	13.9301
982.0	13.9600
983.0	14.0045
984.0	13.9968
985.0	13.8951
986.0	13.8752
987.0	13.8970
988.0	13.8711
989.0	13.9007
990.0	14.0414
991.0	14.0253
992.0	13.9068
993.0	13.9302
994.0	13.9855
995.0	14.0284
996.0	14.0604
997.0	14.0743
998.0	14.0317
999.0	13.9869
1000.0	13.9817
1001.0	13.9765
1002.0	13.9750
1003.0	14.0585
1004.0	14.1354
1005.0	14.1155
1006.0	14.0591
1007.0	13.9863
1008.0	14.0326
